feature_id,label,source_name,MQScore,SharedPeaks,MZErrorPPM,library_precursor_mz,library_rt_seconds,curated_name,Compound_Name,name_key,Class,SubClass,Sub_subclass,condition,retain,exclusion_reason
9090,9090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
5905,5905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
14949,14949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
34255,34255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
6311,6311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
12663,12663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
28257,28257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
25029,25029,"1,2-Dilinoleoylglycerol",0.747358,12,1.38376,617.514,443.328,NA,"1,2-Dilinoleoylglycerol","1,2-Dilinoleoylglycerol",NA,NA,NA,CTL,FALSE,unclassified_annotation
20777,20777,"1,2-Dilinoleoylglycerol",0.720222,14,0.29652,617.514,371.751,NA,"1,2-Dilinoleoylglycerol","1,2-Dilinoleoylglycerol",NA,NA,NA,CTL,FALSE,unclassified_annotation
28262,28262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTL,FALSE,no_library_annotation
