GeneID,GeneName,n_records,tot_phen,best_p
SORBI_3009G220700,Uncharacterized protein,2,2,1.222343e-9
SORBI_3009G220800,Rx N-terminal domain-containing protein,2,2,1.222343e-9
SORBI_3009G221000,NA,2,2,1.222343e-9
SORBI_3003G370100,Protein kinase domain-containing protein,2,2,1.287754e-9
SORBI_3003G369200,DNA polymerase,2,2,1.358718e-9
SORBI_3009G109000,Uncharacterized protein,2,2,1.45047e-9
SORBI_3003G185300,Dynein light chain,2,2,1.531726e-9
SORBI_3003G185500,Uncharacterized protein,2,2,1.531726e-9
SORBI_3003G185600,Aspartate racemase,2,2,1.531726e-9
SORBI_3003G185800,Uncharacterized protein,2,2,1.531726e-9
SORBI_3003G185900,protein-serine_threonine phosphatase,2,2,1.531726e-9
SORBI_3003G186000,RAVE complex protein Rav1 C-terminal domain-containing protein,2,2,1.531726e-9
SORBI_3003G186200,RWP-RK domain-containing protein,2,2,1.531726e-9
SORBI_3008G016900,glutamine--fructose-6-phosphate transaminase (isomerizing),2,3,1.605798e-9
SORBI_3008G017100,PORR domain-containing protein,2,3,1.605798e-9
SORBI_3006G038000,Uncharacterized protein,2,4,1.732315e-9
SORBI_3006G038050,Uncharacterized protein,2,4,1.732315e-9
SORBI_3005G054700,NA,2,2,1.986563e-9
SORBI_3001G320000,Subtilisin-like protease,2,3,2.783649e-9
SORBI_3002G148000,Uncharacterized protein,2,2,2.815911e-9
SORBI_3008G105000,BTB domain-containing protein,2,3,2.843692e-9
SORBI_3001G295700,Fungal lipase-like domain-containing protein,2,2,3.085931e-9
SORBI_3002G071850,NA,2,3,3.356253e-9
SORBI_3003G266100,Symplekin C-terminal domain-containing protein,2,2,3.368183e-9
SORBI_3006G037401,Uncharacterized protein,2,3,4.835503e-9
SORBI_3009G019550,Uncharacterized protein,2,3,4.943539e-9
SORBI_3009G019700,Uncharacterized protein,2,3,4.943539e-9
