Ontology	Layer	Condition	Class	Term	GO	Genes	Background	Intervals	Fold	q_gene	q_LD	Overlap_genes
MF	Class sums and ratios	LIN	PG	DNA binding	GO:0003677	7	1166	3	2.42	0.0669	0.0191	SORBI_3003G324400;SORBI_3003G324500;SORBI_3003G406600;SORBI_3003G406800;SORBI_3003G407200;SORBI_3003G408800;SORBI_3006G184700
MF	Class sums and ratios	LIN	PG	copper ion binding	GO:0005507	2	68	1	11.87	0.0382	0.0387	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	SQDG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	98.28	4.34e-05	0.00022	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	SQDG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	40.04	0.000414	0.000258	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	SQDG	iron ion binding	GO:0005506	6	433	2	4.99	0.00616	0.00962	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900;SORBI_3006G183900
MF	Class sums and ratios	LIN	SQDG	transcription coregulator activity	GO:0003712	2	57	2	12.64	0.035	0.0191	SORBI_3003G407200;SORBI_3004G006600
MF	Class sums and ratios	LIN	SQDG	RNA helicase activity	GO:0003724	2	83	1	8.68	0.0631	0.0346	SORBI_3001G028100;SORBI_3001G028200
MF	Class sums and ratios	LIN	SQDG	copper ion binding	GO:0005507	2	68	1	10.6	0.0453	0.0384	SORBI_3003G088800;SORBI_3003G088900
MF	Class sums and ratios	LIN	SQDG	nucleic acid binding	GO:0003676	5	970	4	1.86	0.278	0.044	SORBI_3001G028100;SORBI_3001G028200;SORBI_3003G087200;SORBI_3004G009000;SORBI_3006G183800
MF	Class sums and ratios	LIN	TG	sphingolipid C4-monooxygenase activity	GO:0102772	3	11	1	323.74	8.08e-06	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	TG	aldehyde oxygenase (deformylating) activity	GO:0071771	3	27	1	131.9	2.58e-05	0.000152	SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Class sums and ratios	LIN	TG	iron ion binding	GO:0005506	5	433	1	13.71	0.000204	0.00553	SORBI_3004G006400;SORBI_3004G007500;SORBI_3004G008300;SORBI_3004G008800;SORBI_3004G008900
MF	Individual lipid species	LIN	AEG	single-stranded DNA binding	GO:0003697	2	64	2	8.64	0.18	0.045	SORBI_3003G391400;SORBI_3004G331600
MF	Individual lipid species	LIN	AEG	translation regulator activity	GO:0045182	4	215	3	5.14	0.0862	0.045	SORBI_3001G261464;SORBI_3001G261472;SORBI_3008G082150;SORBI_3009G133201
