"Phenotype","PhenotypeClean","N_SNPs","Min_P","Lambda","N_GenomeWide","N_Suggestive"
"Sum_MG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta2_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta2_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,2.279141e-16,0.525421449815377,1406,7303
"Sum_MG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta4_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta4_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,2.293401e-16,0.514579838698044,1525,7188
"Sum_SQDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta1_SAP_bialleles_MAF_0.05_13.assoc.txt","Sum_SQDG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part03_parta1_SAP_bialleles_MAF_0_05_13_assoc_txt",6106358,2.874783e-16,0.551520092901001,1132,5992
"Sum_MGDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta10_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta10_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,2.928571e-16,0.523888086515245,1652,6954
"Sum_MG_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta3_SAP_bialleles_MAF_0.05_3.assoc.txt","Sum_MG_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part07_parta3_SAP_bialleles_MAF_0_05_3_assoc_txt",6106358,3.144348e-16,0.532175677689867,1346,7440
"Sum_SQDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta1_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_SQDG_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta1_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,3.398097e-16,0.538988039464341,1587,6495
"Sum_SQDG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta1_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_SQDG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta1_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,3.418545e-16,0.535020943912687,1446,6493
"Sum_SQDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta2_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_SQDG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta2_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,3.693315e-16,0.548436426933935,1315,6211
"Sum_SQDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta7_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_SQDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta7_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,3.699482e-16,0.569118839377955,1384,5991
"Sum_MGDG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta8_SAP_bialleles_MAF_0.05_12.assoc.txt","Sum_MGDG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part02_parta8_SAP_bialleles_MAF_0_05_12_assoc_txt",6106358,3.892366e-16,0.522645661420985,1826,7248
"Sum_DGDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part01.parta6_SAP_bialleles_MAF_0.05_11.assoc.txt","Sum_DGDG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part01_parta6_SAP_bialleles_MAF_0_05_11_assoc_txt",6106358,4.106818e-16,0.531808867855658,1547,6894
"Sum_MG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta1_SAP_bialleles_MAF_0.05_4.assoc.txt","Sum_MG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide_part08_parta1_SAP_bialleles_MAF_0_05_4_assoc_txt",6106358,4.123078e-16,0.539834771879322,1262,6861
