GeneID	GeneName	conditions	layers	best_p	max_r2	max_nphen
SORBI_3001G223200	Major facilitator superfamily (MFS) profile domain-containing protein	CTL	individual	7.079967e-11	0.948184	10
SORBI_3001G223300	DUF295 domain-containing protein	CTL	individual	7.079967e-11	1.0	10
SORBI_3001G223550	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein (Fragment)	CTL	individual	7.079967e-11	0.847014	10
SORBI_3001G224000	Protein kinase domain-containing protein	CTL	individual	7.079967e-11	0.835333	10
SORBI_3001G225700		CTL	individual	7.079967e-11	0.466431	10
SORBI_3001G224200	RRM domain-containing protein	CTL	individual	1.811671e-10	0.536529	10
SORBI_3006G049633		CTL	individual	1.18068e-14	0.961605	9
SORBI_3001G354800		CTL	individual	1.182781e-12	0.575726	9
SORBI_3001G355000		CTL	individual	1.182781e-12	0.575726	9
SORBI_3001G356500	RRM domain-containing protein	CTL	individual	1.182781e-12	0.633042	9
SORBI_3001G356600	K Homology domain-containing protein	CTL	individual	1.182781e-12	0.519247	9
SORBI_3001G357300	Cystathionine gamma-synthase	CTL	individual	1.182781e-12	0.8627	9
SORBI_3001G357400	GOLD domain-containing protein	CTL	individual	1.182781e-12	0.8627	9
SORBI_3001G357500	Amino acid permease_ SLC12A domain-containing protein	CTL	individual	1.182781e-12	1.0	9
SORBI_3001G357650	Helicase ATP-binding domain-containing protein	CTL	individual	1.182781e-12	0.531713	9
SORBI_3001G357800	Amino acid permease_ SLC12A domain-containing protein	CTL	individual	1.182781e-12	0.591234	9
SORBI_3001G357900		CTL	individual	1.182781e-12	0.434718	9
SORBI_3006G042425		CTL	individual	1.690112e-12	0.912203	9
SORBI_3006G042500	RING-type E3 ubiquitin transferase	CTL	individual	1.690112e-12	0.912203	9
SORBI_3006G042800	RRM domain-containing protein	CTL	individual	1.690112e-12	0.890885	9
SORBI_3006G042900	Protein FAR1-RELATED SEQUENCE	CTL	individual	1.690112e-12	0.890885	9
SORBI_3006G043300		CTL	individual	1.690112e-12	0.785801	9
SORBI_3006G043400		CTL	individual	1.690112e-12	0.785801	9
SORBI_3005G115000	Yippee domain-containing protein	CTL	individual	3.219204e-12	0.969351	9
SORBI_3001G254300	Gfo_Idh_MocA-like oxidoreductase N-terminal domain-containing protein	CTL	individual	5.712934e-12	0.883382	9
SORBI_3001G254400	Gfo_Idh_MocA-like oxidoreductase N-terminal domain-containing protein	CTL	individual	5.712934e-12	0.871052	9
SORBI_3001G254600	Gfo_Idh_MocA-like oxidoreductase N-terminal domain-containing protein	CTL	individual	5.712934e-12	0.878953	9
SORBI_3001G254700	Uncharacterized protein	CTL	individual	5.712934e-12	0.856548	9
SORBI_3006G048925	CCHC-type domain-containing protein	CTL	individual	5.869617e-12	0.598338	9
SORBI_3006G049000	Btz domain-containing protein	CTL	individual	5.869617e-12	0.695048	9
SORBI_3006G049100	Uncharacterized protein	CTL	individual	5.869617e-12	0.695048	9
SORBI_3006G049200	VDE lipocalin domain-containing protein	CTL	individual	5.869617e-12	0.691013	9
SORBI_3006G049300	RIN4 pathogenic type III effector avirulence factor Avr cleavage site domain-containing protein	CTL	individual	5.869617e-12	0.87338	9
SORBI_3006G049450	CCHC-type domain-containing protein	CTL	individual	5.869617e-12	0.680697	9
SORBI_3004G134801	Uncharacterized protein	CTL	individual	7.769472e-12	0.959269	9
SORBI_3007G101500		CTL	individual	1.588241e-11	0.84658	9
SORBI_3007G101600	Uncharacterized protein	CTL	individual	1.588241e-11	0.618505	9
SORBI_3005G114600		CTL	individual	1.682213e-11	0.960702	9
SORBI_3005G114800		CTL	individual	1.682213e-11	0.967674	9
SORBI_3005G110463		CTL	individual	2.73581e-11	0.409045	9
SORBI_3005G109300		CTL	individual	3.662497e-11	1.0	9
SORBI_3004G137601		CTL	individual	5.337257e-11	0.976687	9
SORBI_3006G278950	Uncharacterized protein	CTL	individual	1.240061e-10	0.507039	9
SORBI_3007G090403	Uncharacterized protein	CTL	individual	1.861479e-10	0.954956	9
SORBI_3007G090406	Uncharacterized protein	CTL	individual	1.861479e-10	0.481087	9
SORBI_3007G090412	MADS-box domain-containing protein	CTL	individual	1.861479e-10	0.974304	9
SORBI_3007G090415	Dienelactone hydrolase domain-containing protein	CTL	individual	1.861479e-10	0.974311	9
