Condition,Kind,Trait,n,h2_allmarkers,h2_hetfiltered,lo_allmarkers,lo_hetfiltered,hi_allmarkers,hi_hetfiltered,delta
LIN,species,NAE(18:0),357,0.021,0.021,0,0,0.168,0.167,0
LIN,species,NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid,357,0.08,0.08,0,0,0.24,0.238,0
LIN,species,Oxo fatty acid (18:3),357,0.029,0.029,0,0,0.13,0.129,0
LIN,species,PA(16:0/18:1),357,0,0,0,0,0.054,0.054,0
LIN,species,PA(16:0/18:2),357,0,0,0,0,0.026,0.026,0
LIN,species,PC(14:0/14:0),357,0,0,0,0,0.047,0.047,0
LIN,species,PC(14:0/18:0),357,0.043,0.043,0,0,0.15,0.148,0
LIN,species,PC(14:0/18:2),357,0.079,0.078,0,0,0.238,0.237,-0.001
LIN,species,PC(14:0/18:3),357,0,0,0,0,0.08,0.079,0
LIN,species,PC(14:0/22:5),357,0,0,0,0,0.039,0.039,0
LIN,species,PC(14:0/22:6),357,0,0,0,0,0.042,0.042,0
LIN,species,PC(16:0/16:0),357,0.042,0.041,0,0,0.149,0.147,-0.001
LIN,species,PC(16:0/18:0),357,0.037,0.036,0,0,0.174,0.173,-0.000999999999999994
LIN,species,PC(16:0/18:1),357,0.063,0.062,0,0,0.196,0.194,-0.001
LIN,species,PC(16:0/18:2),357,0.036,0.036,0,0,0.172,0.171,0
LIN,species,PC(16:0/18:3),357,0,0,0,0,0.046,0.045,0
LIN,species,PC(16:0/20:1),357,0,0,0,0,0.067,0.066,0
LIN,species,PC(16:0/20:3),357,0.095,0.094,0.008,0.008,0.266,0.265,-0.001
LIN,species,PC(16:0/20:4),357,0,0,0,0,0.072,0.071,0
LIN,species,PC(16:0/20:5),357,0,0,0,0,0.086,0.085,0
LIN,species,PC(16:0/22:5),357,0.074,0.073,0,0,0.226,0.224,-0.001
LIN,species,PC(16:0/22:6),357,0.054,0.053,0,0,0.235,0.233,-0.001
LIN,species,PC(16:1/16:1),357,0.14,0.139,0.035,0.034,0.316,0.314,-0.001
